iter	Logloss
0	0.6448082675
1	0.6009404707
2	0.560891477
3	0.5269055156
4	0.4939077714
5	0.4652944396
6	0.4381733553
7	0.4132682272
8	0.3912693066
9	0.3707265701
10	0.3525459316
11	0.3358378161
12	0.3213138408
13	0.3074276131
14	0.2950554411
15	0.2835940032
16	0.273906476
17	0.2647426483
18	0.2562622392
19	0.2485830085
20	0.2413212688
21	0.2349966568
22	0.2294934227
23	0.225125647
24	0.2207891223
25	0.2166869746
26	0.2124428194
27	0.2083723919
28	0.2045553746
29	0.2010604081
30	0.1980409057
31	0.1954344956
32	0.1928916954
33	0.1908403879
34	0.1888947812
35	0.1871238511
36	0.1851654608
37	0.1832592822
38	0.1814913673
39	0.1799112305
40	0.178661874
41	0.1775096238
42	0.1764739919
43	0.1752979382
44	0.1742516684
45	0.1733402789
46	0.172341251
47	0.1714333588
48	0.1708078992
49	0.1701722892
50	0.1695278615
51	0.1687504977
52	0.1681223744
53	0.1676034587
54	0.1669642849
55	0.1663965796
56	0.1659404217
57	0.1655159849
58	0.1650278879
59	0.1646606405
60	0.1642620654
61	0.1637342378
62	0.1633560236
63	0.1630329813
64	0.1625645596
65	0.1622661582
66	0.1619385763
67	0.16159867
68	0.1613712847
69	0.1611386566
70	0.1608424914
71	0.1606015522
72	0.1603053502
73	0.1600813162
74	0.1598306248
75	0.1596084546
76	0.1593285861
77	0.1590780264
78	0.1588558988
79	0.1586895003
80	0.1584565036
81	0.1583025752
82	0.1581310153
83	0.1579510275
84	0.1577594888
85	0.1575887893
86	0.1574373834
87	0.1572949982
88	0.1570045163
89	0.1568455744
90	0.1567189219
91	0.1565566312
92	0.1564383291
93	0.1561950785
94	0.1560670353
95	0.155965424
96	0.15579817
97	0.1556950812
98	0.1555915942
99	0.1554957231
100	0.1553350931
101	0.155219372
102	0.1551698269
103	0.155079113
104	0.1549611336
105	0.1548497466
106	0.154724079
107	0.1546410145
108	0.1545246883
109	0.1544175057
110	0.1543121654
111	0.1541780889
112	0.1540701236
113	0.1539802436
114	0.1539131638
115	0.153784975
116	0.1536068859
117	0.1534360547
118	0.1533331488
119	0.1532487778
120	0.1531738756
121	0.1530845223
122	0.1530360319
123	0.1529464037
124	0.1528870945
125	0.1527566019
126	0.1526922873
127	0.1526212836
128	0.152513212
129	0.1523830608
130	0.1523351325
131	0.1522388631
132	0.1520482871
133	0.1519810804
134	0.1519022299
135	0.1518213864
136	0.1517628738
137	0.1516743788
138	0.1515621957
139	0.1514966646
140	0.1514472195
141	0.1513193199
142	0.1511915678
143	0.1511244161
144	0.1509656973
145	0.150872063
146	0.1507672469
147	0.1506543006
148	0.1505732479
149	0.1504877293
150	0.1504116815
151	0.1503714069
152	0.1502947405
153	0.1502201308
154	0.1500854095
155	0.1500112378
156	0.1499126211
157	0.1498351427
158	0.1497057193
159	0.1496584976
160	0.1496108852
161	0.1495156293
162	0.1494447601
163	0.1493816835
164	0.1493146678
165	0.1492398446
166	0.1491304191
167	0.1490778554
168	0.1489747049
169	0.1488888235
170	0.148769665
171	0.1487089802
172	0.148628548
173	0.1485457827
174	0.1484745315
175	0.1484319809
176	0.1483468732
177	0.1482403039
178	0.1481318905
179	0.1480530745
180	0.1479621154
181	0.1479367875
182	0.147880909
183	0.1478064687
184	0.1477401707
185	0.1476748497
186	0.1476175383
187	0.1475276688
188	0.1474726631
189	0.147367509
190	0.1473337536
191	0.147219194
192	0.1471676223
193	0.147113969
194	0.1470414434
195	0.1469836867
196	0.146922552
197	0.1468768235
198	0.1468026542
199	0.1467721314
200	0.1466915971
201	0.1466249984
202	0.1465627869
203	0.1465115394
204	0.1464418805
205	0.1463582688
206	0.1462666304
207	0.1461484384
208	0.1460989757
209	0.1460281606
210	0.1459419047
211	0.1458749264
212	0.145846365
213	0.1457913985
214	0.1457287547
215	0.1456103698
216	0.1455447262
217	0.1454017047
218	0.1453549527
219	0.1452854379
220	0.1452297901
221	0.145190959
222	0.1451499261
223	0.1450693181
224	0.1449012292
225	0.1448414972
226	0.1447852558
227	0.144750868
228	0.1446908732
229	0.1446468026
230	0.1446049089
231	0.1445246834
232	0.1444606877
233	0.1444226518
234	0.1443704391
235	0.1443291926
236	0.1441419163
237	0.1440956487
238	0.1440296518
239	0.1439565899
240	0.1438892596
241	0.1438447859
242	0.1437712817
243	0.1436824483
244	0.1436225803
245	0.1435468738
246	0.1434913179
247	0.1434136007
248	0.1432865039
249	0.1432303061
250	0.1431824146
251	0.143136081
252	0.1430545284
253	0.1429749588
254	0.142932551
255	0.1428256044
256	0.1427903692
257	0.1427348766
258	0.1426826792
